# wn[cm-1] real imag
1880.29 1.31940 8.4500e-03
1872.57 1.31809 8.6500e-03
1864.86 1.31674 8.8700e-03
1857.14 1.31535 9.1200e-03
1849.43 1.31388 9.3800e-03
1841.72 1.31235 9.6900e-03
1834.00 1.31075 1.0030e-02
1826.29 1.30903 1.0420e-02
1818.58 1.30722 1.0880e-02
1810.86 1.30528 1.1430e-02
1803.15 1.30322 1.2080e-02
1795.43 1.30099 1.2870e-02
1787.72 1.29860 1.3830e-02
1780.01 1.29603 1.5020e-02
1772.29 1.29327 1.6520e-02
1764.58 1.29035 1.8420e-02
1756.86 1.28736 2.0800e-02
1749.15 1.28436 2.3720e-02
1741.44 1.28149 2.7170e-02
1733.72 1.27867 3.1120e-02
1726.01 1.27578 3.5840e-02
1718.29 1.27315 4.1860e-02
1710.58 1.27166 4.9320e-02
1702.86 1.27204 5.7620e-02
1695.15 1.27454 6.5830e-02
1687.44 1.27872 7.3320e-02
1679.72 1.28433 7.9820e-02
1672.01 1.29105 8.5130e-02
1664.30 1.29871 8.8990e-02
1656.58 1.30692 9.1210e-02
1648.87 1.31530 9.1650e-02
1641.15 1.32333 9.0300e-02
1633.44 1.33060 8.7310e-02
1625.73 1.33661 8.3090e-02
1618.01 1.34126 7.8090e-02
1610.30 1.34467 7.2590e-02
1602.58 1.34654 6.6750e-02
1594.87 1.34674 6.1070e-02
1587.16 1.34542 5.6430e-02
1579.44 1.34351 5.3310e-02
1571.73 1.34191 5.1300e-02
1564.01 1.34077 4.9610e-02
1556.30 1.33967 4.7980e-02
1548.58 1.33840 4.6560e-02
1540.87 1.33712 4.5520e-02
1533.16 1.33592 4.4780e-02
1525.44 1.33491 4.4240e-02
1517.73 1.33405 4.3820e-02
1510.02 1.33332 4.3440e-02
1502.30 1.33273 4.3050e-02
1494.59 1.33213 4.2610e-02
1486.87 1.33155 4.2160e-02
1479.16 1.33090 4.1720e-02
1471.45 1.33024 4.1330e-02
1463.73 1.32959 4.1000e-02
1456.02 1.32894 4.0710e-02
1448.30 1.32832 4.0450e-02
1440.59 1.32773 4.0200e-02
1432.88 1.32715 3.9960e-02
1425.16 1.32658 3.9720e-02
1417.45 1.32602 3.9470e-02
1409.73 1.32550 3.9180e-02
1402.02 1.32493 3.8840e-02
1394.31 1.32432 3.8440e-02
1386.59 1.32360 3.8000e-02
1378.88 1.32274 3.7590e-02
1371.16 1.32176 3.7280e-02
1363.45 1.32074 3.7120e-02
1355.74 1.31974 3.7110e-02
1348.02 1.31886 3.7200e-02
1340.31 1.31811 3.7290e-02
1332.59 1.31744 3.7310e-02
1324.88 1.31678 3.7220e-02
1317.17 1.31609 3.7040e-02
1309.45 1.31531 3.6810e-02
1301.74 1.31443 3.6580e-02
1294.02 1.31349 3.6360e-02
1286.31 1.31248 3.6180e-02
1278.60 1.31144 3.6030e-02
1270.88 1.31037 3.5910e-02
1263.17 1.30927 3.5810e-02
1255.45 1.30816 3.5720e-02
1247.74 1.30703 3.5630e-02
1240.03 1.30586 3.5530e-02
1232.31 1.30465 3.5430e-02
1224.60 1.30339 3.5320e-02
1216.88 1.30208 3.5210e-02
1209.17 1.30072 3.5080e-02
1201.46 1.29926 3.4950e-02
1193.74 1.29775 3.4820e-02
