# wn[cm-1] real imag
3.4305e+03 0.9538 2.210e-01
3.4095e+03 0.9678 2.760e-01
3.3898e+03 0.9873 3.120e-01
3.3704e+03 1.0026 3.470e-01
3.3501e+03 1.0180 3.880e-01
3.3300e+03 1.0390 4.380e-01
3.3102e+03 1.0722 4.930e-01
3.2895e+03 1.1259 5.540e-01
3.2701e+03 1.2089 6.120e-01
3.2499e+03 1.3215 6.250e-01
3.2300e+03 1.4225 5.930e-01
3.2103e+03 1.4933 5.390e-01
3.1898e+03 1.5478 4.910e-01
3.1696e+03 1.5970 4.380e-01
3.1496e+03 1.6336 3.720e-01
3.1299e+03 1.6477 3.000e-01
3.1104e+03 1.6405 2.380e-01
3.0902e+03 1.6248 1.930e-01
3.0703e+03 1.6108 1.580e-01
3.0497e+03 1.5905 1.210e-01
3.0303e+03 1.5714 1.030e-01
3.0102e+03 1.5559 8.360e-02
2.9895e+03 1.5396 6.680e-02
2.9700e+03 1.5241 5.312e-02
2.9499e+03 1.5086 4.286e-02
2.9300e+03 1.4949 3.523e-02
2.9104e+03 1.4827 2.887e-02
2.8902e+03 1.4710 2.347e-02
2.8703e+03 1.4604 1.921e-02
2.8498e+03 1.4502 1.586e-02
2.8297e+03 1.4411 1.326e-02
2.8098e+03 1.4328 1.130e-02
2.7594e+03 1.4146 8.146e-03
2.6795e+03 1.3924 6.672e-03
2.6490e+03 1.3850 6.966e-03
2.5994e+03 1.3750 8.248e-03
2.5195e+03 1.3623 1.112e-02
2.4396e+03 1.3526 1.471e-02
2.3590e+03 1.3447 1.867e-02
2.2999e+03 1.3406 2.411e-02
2.2795e+03 1.3401 2.656e-02
2.2502e+03 1.3412 2.990e-02
2.2198e+03 1.3444 3.179e-02
2.1993e+03 1.3473 3.090e-02
2.1930e+03 1.3482 3.007e-02
2.1834e+03 1.3491 2.883e-02
2.1191e+03 1.3470 1.940e-02
2.0392e+03 1.3379 1.347e-02
2.0000e+03 1.3325 1.240e-02
1.9608e+03 1.3268 1.220e-02
1.9231e+03 1.3212 1.302e-02
1.9001e+03 1.3176 1.380e-02
1.8519e+03 1.3100 1.683e-02
1.7999e+03 1.3013 2.232e-02
1.7501e+03 1.2933 3.256e-02
1.7400e+03 1.2917 3.539e-02
1.7301e+03 1.2906 3.883e-02
1.7200e+03 1.2902 4.270e-02
1.7100e+03 1.2904 4.643e-02
1.7001e+03 1.2915 5.045e-02
1.6499e+03 1.3015 6.439e-02
1.6300e+03 1.3083 6.560e-02
1.6000e+03 1.3152 6.360e-02
1.5901e+03 1.3167 6.265e-02
1.5800e+03 1.3178 6.170e-02
1.5701e+03 1.3187 6.101e-02
1.5601e+03 1.3194 6.031e-02
1.5499e+03 1.3201 5.964e-02
1.5399e+03 1.3207 5.899e-02
1.5200e+03 1.3214 5.780e-02
1.4999e+03 1.3219 5.700e-02
1.4799e+03 1.3229 5.680e-02
1.4499e+03 1.3242 5.428e-02
1.4201e+03 1.3244 5.161e-02
1.4000e+03 1.3236 4.940e-02
1.3801e+03 1.3229 4.840e-02
1.3600e+03 1.3218 4.600e-02
1.3399e+03 1.3200 4.440e-02
1.3200e+03 1.3183 4.290e-02
1.3001e+03 1.3158 4.041e-02
1.2801e+03 1.3123 3.911e-02
1.2599e+03 1.3086 3.819e-02
1.2399e+03 1.3047 3.760e-02
1.2200e+03 1.3007 3.724e-02
1.2000e+03 1.2964 3.700e-02
1.1799e+03 1.2917 3.677e-02
1.1500e+03 1.2835 3.654e-02
1.1199e+03 1.2735 3.664e-02
1.1000e+03 1.2655 3.706e-02
1.0800e+03 1.2561 3.789e-02
1.0500e+03 1.2387 4.026e-02
1.0200e+03 1.2151 4.450e-02
1.0000e+03 1.1926 5.008e-02
9.8039e+02 1.1659 6.461e-02
9.6993e+02 1.1501 7.500e-02
9.5969e+02 1.1323 8.800e-02
9.4967e+02 1.1136 1.080e-01
9.3985e+02 1.0971 1.340e-01
9.3023e+02 1.0867 1.680e-01
9.1996e+02 1.0833 2.040e-01
9.0909e+02 1.0886 2.480e-01
9.0009e+02 1.1023 2.800e-01
8.8028e+02 1.1439 3.410e-01
8.5985e+02 1.1983 3.790e-01
8.4034e+02 1.2546 4.090e-01
8.1967e+02 1.3194 4.220e-01
8.0000e+02 1.3822 4.220e-01
7.8003e+02 1.4412 4.030e-01
7.6982e+02 1.4683 3.890e-01
7.5988e+02 1.4928 3.740e-01
7.5019e+02 1.5132 3.540e-01
7.4019e+02 1.5300 3.350e-01
7.2993e+02 1.5458 3.150e-01
7.1994e+02 1.5596 2.940e-01
7.1023e+02 1.5701 2.710e-01
6.9979e+02 1.5775 2.460e-01
6.7981e+02 1.5762 1.980e-01
6.6007e+02 1.5637 1.640e-01
6.5020e+02 1.5559 1.520e-01
6.3980e+02 1.5481 1.420e-01
6.1996e+02 1.5353 1.280e-01
6.1013e+02 1.5302 1.250e-01
5.9988e+02 1.5294 1.230e-01
5.8997e+02 1.5306 1.160e-01
5.8005e+02 1.5303 1.070e-01
5.5005e+02 1.5141 7.900e-02
5.4585e+02 1.5104 7.752e-02
5.3735e+02 1.5043 7.455e-02
5.2994e+02 1.4982 7.200e-02
5.2002e+02 1.4939 7.600e-02
5.0994e+02 1.4963 7.500e-02
5.0000e+02 1.4986 6.700e-02
4.8996e+02 1.4956 5.500e-02
4.8008e+02 1.4877 4.500e-02
4.5005e+02 1.4575 2.900e-02
4.4248e+02 1.4486 2.750e-02
4.3384e+02 1.4390 2.700e-02
4.2373e+02 1.4282 2.730e-02
4.0650e+02 1.4102 2.890e-02
4.0000e+02 1.4030 3.000e-02
3.8462e+02 1.3854 3.400e-02
3.5002e+02 1.3404 5.122e-02
3.2258e+02 1.2969 8.615e-02
3.0003e+02 1.2641 1.348e-01
2.9002e+02 1.2530 1.615e-01
2.8058e+02 1.2445 1.895e-01
2.7027e+02 1.2371 2.227e-01
2.6151e+02 1.2317 2.528e-01
2.5253e+02 1.2243 2.853e-01
2.4307e+02 1.2054 3.240e-01
2.3386e+02 1.1742 3.945e-01
2.2946e+02 1.1549 4.521e-01
2.2432e+02 1.1496 5.535e-01
2.1978e+02 1.1853 6.782e-01
2.1668e+02 1.2543 7.684e-01
2.1409e+02 1.3474 8.254e-01
2.1115e+02 1.4725 8.458e-01
2.0833e+02 1.5874 8.158e-01
2.0500e+02 1.6841 7.414e-01
1.9988e+02 1.7505 6.191e-01
1.9501e+02 1.7649 5.353e-01
1.8957e+02 1.7668 4.780e-01
1.8692e+02 1.7687 4.599e-01
1.8437e+02 1.7792 4.468e-01
1.8182e+02 1.7955 4.214e-01
1.7940e+02 1.8052 3.860e-01
1.7730e+02 1.8041 3.508e-01
1.7544e+02 1.7940 3.196e-01
1.7403e+02 1.7805 2.981e-01
1.7123e+02 1.7410 2.659e-01
1.6866e+02 1.6930 2.569e-01
1.6667e+02 1.6610 2.785e-01
1.6393e+02 1.6419 3.076e-01
1.6327e+02 1.6396 3.146e-01
1.6000e+02 1.6372 3.471e-01
1.5679e+02 1.6471 3.748e-01
1.5463e+02 1.6596 3.902e-01
1.5249e+02 1.6754 4.024e-01
1.5026e+02 1.6945 4.115e-01
1.4793e+02 1.7167 4.167e-01
1.4493e+02 1.7466 4.167e-01
1.4178e+02 1.7780 4.089e-01
1.3699e+02 1.8185 3.830e-01
